Data sent by CRU0:
Packet: time window: 1, sampaId: 4, channelId: 10, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 9, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 7, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 6, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 8, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 18, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 15, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 12, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 17, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 13, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 14, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 16, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 20, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 19, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 24, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 21, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 22, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 25, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 23, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 28, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 30, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 29, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 27, number of samples: 949
Packet: time window: 1, sampaId: 4, channelId: 26, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 31, number of samples: 949
